age,workclass,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,income,native_country
41,4,9,0,6,4,4,0,0,0,40,0,United-States
69,4,9,0,1,1,4,0,0,0,25,0,United-States
48,1,16,2,10,5,4,0,0,0,40,1,United-States
28,4,9,4,10,3,4,1,0,0,40,0,United-States
27,6,9,2,3,0,4,1,0,0,60,1,Ireland
41,4,14,2,10,0,4,1,0,2415,50,1,United-States
41,4,10,2,1,0,4,1,0,0,40,0,United-States
24,4,9,4,3,4,2,0,0,0,40,0,United-States
20,0,9,4,0,1,4,0,0,0,40,0,United-States
42,5,16,2,10,0,4,1,0,0,41,1,United-States
57,4,9,2,3,0,2,1,0,0,48,0,United-States
30,4,12,4,10,1,4,0,0,0,40,0,United-States
36,4,9,2,12,0,4,1,0,0,60,1,United-States
49,4,4,2,7,0,2,1,0,0,40,0,United-States
33,4,9,2,7,5,4,0,0,0,35,0,United-States
23,4,6,2,5,0,4,1,0,0,40,0,United-States
46,4,14,2,10,0,4,1,0,0,40,0,United-States
18,4,10,4,1,3,1,0,0,0,22,0,Germany
40,4,9,2,4,0,4,1,7688,0,55,1,United-States
43,5,9,2,4,0,4,1,0,1887,45,1,United-States
34,4,14,4,10,3,4,0,0,0,30,0,United-States
47,6,9,6,4,1,4,0,0,0,30,0,United-States
44,4,11,6,4,4,4,0,0,0,30,0,United-States
33,4,9,2,12,0,4,1,0,0,40,1,United-States
55,4,13,2,4,0,4,1,15024,0,50,1,United-States
19,4,9,4,12,1,4,1,2907,0,30,0,United-States
28,4,10,4,8,1,2,1,0,0,14,0,United-States
27,4,7,2,8,5,2,0,0,0,32,0,United-States
50,4,4,2,7,0,4,1,0,0,20,0,United-States
22,4,7,4,3,4,4,1,0,0,40,0,United-States
40,7,13,2,1,0,4,1,0,1887,45,1,United-States
25,4,10,4,1,3,4,0,0,0,40,0,United-States
26,2,9,4,3,1,4,1,0,0,40,0,United-States
22,4,13,4,12,1,4,1,0,0,25,0,United-States
42,4,10,4,6,4,2,0,0,625,40,0,United-States
38,5,13,0,4,1,4,1,0,0,40,0,United-States
55,4,7,2,8,0,4,1,0,0,30,0,United-States
32,4,9,2,12,0,4,1,0,0,40,0,United-States
22,4,9,2,3,0,4,1,0,0,45,0,United-States
29,4,13,4,12,3,4,1,0,0,40,0,United-States
46,7,14,2,4,0,4,1,0,0,45,1,United-States
31,4,10,2,4,0,4,1,0,0,40,1,United-States
58,6,16,2,10,0,4,1,0,0,16,1,United-States
42,4,9,2,3,0,4,1,0,0,45,0,United-States
18,4,9,4,6,4,4,1,0,0,25,0,United-States
58,2,9,0,4,1,4,1,0,0,33,0,United-States
54,4,9,2,10,0,4,1,0,1887,40,1,United-States
34,4,14,4,10,1,4,1,0,0,40,0,United-States
26,4,13,4,1,1,4,0,0,0,40,0,United-States
61,4,8,2,4,0,4,1,0,0,60,0,United-States
48,2,14,5,1,4,2,0,0,0,40,0,United-States
36,4,10,2,4,0,4,1,0,0,45,1,United-States
24,4,11,2,7,0,4,1,0,0,45,0,United-States
40,4,10,2,7,0,4,1,0,0,37,0,United-States
33,5,9,2,12,0,4,1,0,0,50,1,United-States
37,4,10,2,7,0,4,1,0,1887,40,1,United-States
34,4,14,4,4,3,4,1,4650,0,40,0,United-States
56,5,10,2,4,0,4,1,15024,0,40,1,United-States
28,0,9,2,0,3,4,0,0,0,38,1,United-States
37,4,13,6,4,1,4,0,0,0,55,0,United-States
44,4,9,0,12,4,2,0,0,0,40,0,United-States
64,0,10,2,0,0,4,1,0,0,8,0,United-States
54,4,9,0,6,1,4,1,0,0,45,0,United-States
23,4,9,4,7,1,4,1,0,0,50,0,United-States
34,7,13,3,5,1,2,1,0,0,40,0,?
22,4,9,4,8,1,4,0,0,0,45,0,United-States
33,4,13,2,4,0,4,1,0,1977,40,1,United-States
39,4,13,5,10,1,4,1,0,0,50,1,United-States
47,4,10,0,1,1,2,0,0,0,37,0,United-States
79,0,4,6,0,1,4,1,0,0,40,0,United-States
26,4,9,4,10,4,2,0,0,0,55,0,United-States
31,4,10,0,4,4,4,0,0,0,40,0,United-States
44,4,10,4,14,1,4,1,0,0,45,0,United-States
42,5,15,2,10,5,4,0,0,0,50,1,United-States
19,4,9,4,7,1,4,0,0,0,40,0,United-States
27,4,9,2,6,0,4,1,0,0,40,1,United-States
51,2,10,2,11,0,4,1,0,0,40,1,United-States
28,5,13,2,4,0,4,1,0,0,50,0,United-States
57,4,13,0,3,1,4,1,0,0,45,0,United-States
45,2,13,0,10,4,4,0,0,0,40,0,United-States
50,4,11,2,10,0,4,1,0,0,40,1,United-States
34,5,13,2,12,0,4,1,0,0,54,0,United-States
45,4,4,2,3,0,2,1,0,0,40,0,United-States
73,2,9,2,4,0,4,1,0,0,20,0,United-States
34,4,13,2,10,5,4,0,0,0,50,1,United-States
31,4,10,2,12,0,4,1,0,0,55,1,United-States
19,4,7,4,12,1,4,1,0,0,12,0,United-States
25,4,10,4,8,3,4,0,0,0,50,0,United-States
38,1,11,0,3,4,4,0,6497,0,40,0,United-States
39,4,13,2,14,0,4,1,0,0,40,0,United-States
23,4,13,4,13,3,2,0,0,0,32,0,United-States
49,4,9,2,7,0,4,1,0,0,40,0,United-States
33,1,9,4,8,1,4,1,0,0,32,0,United-States
21,4,3,4,7,2,4,1,0,0,38,0,Mexico
31,4,11,5,3,1,4,1,0,0,40,0,United-States
23,4,13,4,4,1,4,0,0,0,45,0,United-States
34,4,13,2,1,0,1,1,0,0,40,0,Philippines
25,4,9,4,7,1,1,0,0,0,40,0,Philippines
39,4,9,4,3,4,4,1,0,0,40,0,United-States
52,5,9,2,12,0,4,1,0,0,40,1,United-States
63,2,5,2,14,0,4,1,7688,0,40,1,United-States
41,4,10,2,3,0,4,1,0,0,40,0,United-States
46,4,13,2,10,0,4,1,15024,0,38,1,United-States
53,2,9,2,4,0,4,1,0,0,40,0,United-States
25,0,5,5,0,1,4,0,1055,0,40,0,United-States
77,0,10,2,0,0,4,1,0,0,35,0,United-States
18,4,8,4,9,3,4,1,0,0,40,0,United-States
38,4,15,2,10,0,4,1,0,0,50,0,United-States
55,4,14,4,4,4,1,0,0,0,50,0,Thailand
34,4,9,2,13,0,4,1,0,0,40,1,United-States
80,6,9,2,8,0,4,1,0,0,30,0,United-States
34,4,11,0,13,4,4,0,0,0,60,0,United-States
52,4,10,2,13,0,4,1,5013,0,40,0,United-States
42,4,9,4,8,4,2,0,0,0,28,0,Haiti
26,4,10,4,12,1,4,0,0,0,40,0,United-States
31,4,9,2,14,0,4,1,0,0,40,0,United-States
25,2,9,4,8,3,4,0,0,0,35,0,United-States
55,6,9,2,3,0,4,1,0,2057,60,0,United-States
19,4,10,4,8,3,4,0,0,0,12,0,United-States
62,6,10,2,14,0,4,1,0,0,32,0,United-States
22,1,10,4,1,3,4,0,0,0,20,0,United-States
39,0,9,2,0,5,4,0,0,0,50,0,United-States
35,4,9,2,6,0,4,1,0,0,40,0,United-States
28,4,9,2,12,3,4,0,0,0,40,0,United-States
47,4,9,2,14,0,4,1,0,0,70,1,United-States
44,7,9,2,7,0,4,1,0,0,40,0,United-States
21,4,10,4,12,3,4,1,0,0,15,0,United-States
35,4,11,4,3,1,4,1,0,0,50,0,United-States
24,4,13,2,10,0,4,1,0,0,40,1,United-States
42,1,13,4,10,1,4,1,0,0,40,0,?
28,4,13,4,13,3,4,1,0,0,50,0,United-States
21,4,10,4,7,2,4,1,0,0,35,0,United-States
62,1,10,0,13,1,2,1,4650,0,40,0,United-States
39,4,9,4,8,1,2,0,0,0,40,0,United-States
30,7,9,4,8,1,4,1,0,0,40,0,United-States
72,6,15,4,10,1,4,1,0,1429,20,0,United-States
50,4,10,2,4,5,4,0,0,0,50,0,United-States
28,2,14,4,10,1,4,1,0,0,40,0,United-States
29,4,10,4,10,1,4,0,0,0,40,0,United-States
26,4,13,4,1,3,4,0,0,0,40,0,United-States
27,4,14,4,4,1,4,0,0,0,40,0,United-States
29,4,10,2,6,0,4,1,3103,0,40,1,United-States
61,0,9,2,0,0,4,1,0,0,40,0,United-States
29,4,6,2,3,0,4,1,0,0,25,0,United-States
21,0,10,4,0,3,4,0,0,0,30,0,United-States
31,4,7,2,12,5,4,0,0,0,20,0,United-States
25,4,9,2,4,0,4,1,0,0,75,0,United-States
58,4,6,2,14,0,4,1,0,0,40,1,United-States
64,4,10,2,4,5,4,0,0,0,40,1,United-States
46,7,14,4,4,1,4,1,0,0,38,0,United-States
53,0,9,2,0,0,4,1,0,0,35,1,United-States
19,4,9,4,8,3,0,0,0,0,35,0,United-States
42,4,9,0,8,1,2,1,0,0,52,0,United-States
18,4,7,4,6,3,4,1,0,0,24,0,United-States
58,5,13,2,3,0,4,1,15024,0,50,1,United-States
20,4,10,4,11,1,2,1,0,0,60,0,United-States
35,1,9,2,3,0,4,1,0,0,40,1,United-States
32,4,9,2,6,0,4,1,0,0,38,1,United-States
23,4,9,4,6,1,4,0,0,0,25,0,United-States
31,4,10,0,13,4,4,0,0,0,40,0,United-States
33,4,13,2,12,0,2,1,0,0,55,0,United-States
41,4,10,4,7,1,4,0,0,0,48,0,United-States
22,4,9,4,7,3,2,1,0,0,40,0,United-States
46,4,10,2,11,0,4,1,0,0,40,1,United-States
61,1,10,2,14,0,2,1,0,0,40,0,United-States
30,4,9,4,4,1,2,1,0,0,40,0,United-States
42,4,9,2,4,0,4,1,0,0,55,1,United-States
63,4,6,2,6,0,4,1,0,0,40,0,United-States
26,4,10,2,12,0,4,1,0,0,40,0,United-States
42,4,6,0,1,4,4,0,0,0,40,0,United-States
23,4,10,2,8,0,4,1,0,0,40,0,United-States
25,4,9,4,7,4,4,1,0,1590,40,0,United-States
30,4,5,2,8,0,4,1,0,0,32,1,El-Salvador
23,4,9,4,12,3,4,1,0,0,40,0,United-States
34,6,11,4,5,1,4,1,27828,0,60,1,United-States
30,4,9,2,7,2,4,1,0,2057,48,0,United-States
39,4,10,2,3,0,4,1,0,0,40,1,United-States
30,4,7,4,6,2,4,1,0,1721,38,0,Puerto-Rico
38,2,10,0,1,4,4,0,0,0,38,0,United-States
26,4,9,0,4,3,4,0,0,0,40,0,United-States
20,4,10,4,6,3,4,1,0,0,16,0,United-States
37,2,13,4,10,4,2,1,0,0,40,0,?
33,4,9,2,1,3,4,0,0,0,40,0,United-States
24,4,13,4,1,3,4,1,0,0,40,0,United-States
42,5,13,2,4,0,4,1,0,0,60,1,United-States
51,6,9,2,12,0,1,1,3103,0,84,0,Vietnam
56,2,12,2,13,0,4,1,0,0,45,1,United-States
22,4,10,4,6,3,4,1,0,0,40,0,United-States
52,6,10,2,5,0,4,1,0,0,60,0,United-States
44,4,13,0,4,4,4,0,4934,0,45,1,United-States
34,4,9,2,1,5,4,0,4064,0,35,0,United-States
51,4,10,0,3,1,4,1,0,0,42,1,United-States
20,0,10,4,0,1,4,1,0,0,40,0,United-States
19,4,10,4,12,1,4,0,0,0,25,0,United-States
37,4,13,2,4,0,4,1,0,0,40,1,United-States
68,4,9,2,7,0,2,1,0,0,40,1,United-States
22,4,10,0,11,1,4,1,0,0,40,0,United-States
56,5,13,2,4,0,4,1,0,0,40,0,United-States
37,4,9,2,3,0,4,1,0,0,40,0,United-States
52,4,2,2,7,0,4,1,0,0,40,0,Mexico
26,4,9,5,6,3,4,1,0,0,40,0,Puerto-Rico
33,4,14,2,10,0,4,1,0,0,50,0,United-States
45,2,14,0,10,4,4,0,0,0,42,0,United-States
18,4,7,4,8,3,4,1,0,0,15,0,United-States
43,6,10,2,5,0,4,1,0,0,60,1,United-States
64,6,16,2,10,0,4,1,15024,0,50,1,?
18,4,9,4,6,3,4,1,0,0,20,0,United-States
20,0,10,4,0,3,4,1,0,0,45,0,United-States
57,4,9,2,3,0,4,1,0,0,40,1,United-States
41,4,9,0,1,4,4,0,3674,0,42,0,United-States
34,4,14,2,4,0,4,1,0,1887,50,1,United-States
19,4,9,4,12,4,4,0,0,0,40,0,United-States
44,4,5,0,8,4,4,0,0,0,55,0,Dominican-Republic
56,4,6,6,8,4,4,0,0,0,40,0,United-States
36,5,9,2,5,0,4,1,0,0,80,0,United-States
48,4,13,0,4,4,4,0,0,0,48,0,United-States
29,4,9,2,14,0,4,1,0,0,40,1,United-States
33,4,13,4,3,1,4,1,2174,0,40,0,United-States
31,4,3,2,8,0,4,1,0,0,40,0,Mexico
39,4,14,2,10,0,4,1,0,0,45,1,United-States
66,4,9,2,4,0,4,1,10605,0,40,1,United-States
27,4,13,4,10,1,4,0,0,0,50,1,United-States
39,4,9,0,4,4,2,0,99999,0,40,1,United-States
59,4,4,2,3,0,4,1,5178,0,50,1,United-States
26,4,9,4,8,3,4,0,0,0,40,0,United-States
31,4,11,0,3,4,4,1,0,0,40,0,United-States
45,0,9,6,0,4,4,0,0,0,40,0,Mexico
23,4,9,4,6,3,4,1,0,0,30,0,United-States
36,2,9,0,1,4,4,0,0,0,40,0,United-States
34,4,10,2,8,5,4,0,0,0,12,1,United-States
32,4,9,2,14,0,4,1,0,0,84,1,United-States
37,4,13,2,10,0,2,1,0,0,50,1,United-States
33,4,13,4,12,1,4,1,0,0,45,0,United-States
50,6,15,2,10,0,4,1,99999,0,80,1,United-States
32,1,12,4,11,1,2,1,0,0,40,0,United-States
35,4,13,4,1,3,2,0,0,0,40,0,United-States
37,4,7,2,3,0,4,1,0,0,40,0,United-States
44,4,10,0,3,1,4,1,0,0,60,0,United-States
57,4,10,0,6,2,4,1,0,0,25,0,United-States
29,2,10,2,4,3,4,0,0,0,40,0,United-States
55,4,9,2,3,0,4,1,0,0,50,1,United-States
43,5,15,2,10,0,4,1,0,0,25,1,United-States
43,4,10,2,12,0,4,1,0,0,70,0,United-States
45,6,10,2,12,0,4,1,0,0,60,1,United-States
33,6,14,2,10,5,4,0,0,0,8,0,United-States
26,4,6,0,8,4,4,0,0,0,40,0,Germany
23,4,10,2,12,0,4,1,0,0,68,0,United-States
41,4,4,5,3,1,4,1,0,0,40,0,Mexico
24,4,9,2,3,0,4,1,0,0,40,0,United-States
47,6,13,2,12,0,4,1,0,0,44,0,United-States
34,6,9,4,3,3,4,1,0,0,45,0,United-States
40,4,9,2,4,0,4,1,0,0,40,1,United-States
28,4,13,2,10,5,1,0,0,1485,40,0,United-States
24,4,9,4,4,3,1,0,0,0,40,0,South
73,0,10,2,0,0,4,1,0,0,10,0,United-States
23,4,9,4,3,2,4,1,0,0,15,0,United-States
43,6,9,2,4,0,2,1,0,0,40,1,United-States
26,4,13,0,13,1,4,0,0,0,40,0,United-States
58,6,16,1,4,5,4,0,0,1485,35,1,United-States
52,4,9,6,1,4,2,0,0,0,35,0,United-States
29,4,7,2,14,0,4,1,0,0,99,1,United-States
47,4,7,2,8,0,4,1,0,0,35,0,Columbia
49,4,9,0,1,4,2,0,0,0,37,0,United-States
40,4,7,6,1,4,4,0,0,0,40,0,United-States
62,6,9,2,1,5,4,0,0,0,40,0,United-States
49,4,9,2,4,0,4,1,0,1977,55,1,United-States
50,4,13,0,10,2,4,0,0,0,50,1,United-States
31,4,9,4,14,3,2,1,0,0,40,0,United-States
48,2,14,4,10,1,4,0,0,0,50,0,United-States
24,4,9,4,3,4,4,0,0,0,40,0,United-States
41,0,9,4,0,3,4,0,3418,0,40,0,United-States
37,4,9,5,7,3,1,1,0,0,60,0,United-States
45,4,13,2,4,0,1,1,0,0,45,1,Japan
63,0,9,2,0,0,4,1,0,0,16,0,United-States
36,4,14,2,4,0,1,1,0,0,45,0,India
45,4,13,2,4,0,4,1,0,0,40,0,United-States
41,4,13,4,12,1,4,0,0,0,40,0,United-States
26,4,12,4,13,2,4,0,0,0,20,0,United-States
17,4,7,4,12,3,4,0,0,0,25,0,United-States
27,4,9,2,8,0,4,1,0,0,36,0,?
43,4,9,2,7,0,4,1,0,0,65,0,United-States
35,4,9,4,14,3,4,1,0,0,55,0,United-States
38,4,13,0,1,4,4,0,0,0,40,0,United-States
26,4,9,4,7,1,4,1,0,0,40,0,United-States
28,4,10,4,4,3,4,0,0,0,40,0,United-States
38,4,13,2,10,5,4,0,0,0,24,1,United-States
36,4,7,0,14,4,4,0,0,0,40,0,United-States
33,4,9,2,1,5,4,0,0,0,40,1,United-States
19,4,9,4,6,3,4,1,1055,0,70,0,United-States
22,0,12,4,0,3,4,1,0,0,25,0,United-States
42,1,6,2,1,0,4,1,0,0,40,0,Mexico
50,4,6,2,14,0,4,1,0,0,40,1,United-States
30,4,9,2,6,0,4,1,0,0,30,0,United-States
37,7,10,2,10,2,1,1,0,0,40,0,Cambodia
54,5,15,2,10,0,4,1,99999,0,40,1,United-States
52,5,13,4,4,1,4,1,0,0,40,0,United-States
65,4,2,2,6,0,3,1,0,0,40,0,?
33,4,9,0,3,1,4,0,0,0,40,0,United-States
25,4,10,4,13,2,4,1,0,0,40,0,United-States
24,4,13,4,12,1,4,1,0,0,45,0,United-States
26,4,11,5,1,4,2,0,114,0,40,0,United-States
39,4,9,5,1,1,4,1,0,0,40,1,United-States
59,4,9,0,8,1,4,0,0,0,40,0,United-States
29,4,10,4,1,4,4,0,0,0,40,0,United-States
47,4,7,4,8,3,4,0,0,0,45,0,United-States
23,0,10,4,0,3,4,0,0,0,35,0,United-States
64,5,9,2,14,0,4,1,0,0,50,0,United-States
21,4,9,4,8,3,3,1,0,0,20,0,United-States
32,4,10,2,1,5,2,0,0,0,40,1,United-States
26,4,9,4,4,1,2,0,0,0,37,0,United-States
19,0,10,4,0,3,2,0,0,0,20,0,United-States
62,6,14,2,10,0,4,1,0,0,40,0,United-States
32,4,13,2,3,0,4,1,0,0,55,1,United-States
75,0,6,3,0,1,4,0,0,0,5,0,United-States
45,6,9,2,4,0,4,1,0,0,60,0,United-States
31,4,13,2,4,0,4,1,0,1887,50,1,United-States
32,4,9,2,1,0,4,1,2580,0,40,0,United-States
24,4,13,2,12,0,4,1,0,0,40,0,United-States
25,4,13,4,12,3,4,0,0,0,40,0,United-States
41,6,9,2,4,0,4,1,0,0,60,0,United-States
18,4,10,4,12,3,4,0,0,0,20,0,United-States
44,4,16,2,10,0,4,1,0,0,55,1,United-States
40,4,10,2,4,0,4,1,3411,0,50,0,United-States
27,4,13,4,10,1,4,1,0,0,40,0,United-States
23,4,13,4,1,3,4,1,0,0,40,0,United-States
21,4,10,4,1,1,3,1,2174,0,40,0,United-States
37,7,9,2,14,0,4,1,0,0,40,0,United-States
65,6,9,2,5,0,4,1,0,0,48,0,United-States
43,1,14,2,10,0,4,1,0,0,40,1,United-States
45,4,9,4,1,1,4,1,0,0,44,0,United-States
24,7,13,4,4,1,4,0,0,0,40,0,United-States
24,4,10,4,7,1,4,1,0,0,42,0,United-States
19,2,10,4,11,3,4,1,0,1721,35,0,United-States
37,4,13,2,10,0,4,1,0,0,65,1,United-States
24,4,9,4,1,3,4,0,0,0,35,0,United-States
34,4,10,2,7,0,4,1,0,0,40,0,Germany
50,7,9,2,8,5,4,0,0,0,39,0,United-States
36,4,9,2,3,0,4,1,0,0,40,0,Puerto-Rico
39,4,13,2,12,0,4,1,0,0,60,0,United-States
44,6,4,2,3,0,4,1,0,0,38,0,United-States
45,7,9,2,8,0,4,1,0,0,40,0,United-States
32,7,7,4,11,3,4,1,0,0,40,0,United-States
47,1,14,2,4,0,2,1,0,0,40,1,United-States
50,4,9,2,7,0,4,1,0,0,40,0,United-States
32,4,11,2,8,0,4,1,0,0,40,0,United-States
19,4,9,4,6,3,4,1,0,0,40,0,United-States
19,0,10,4,0,3,4,0,0,0,20,0,United-States
28,7,14,0,10,1,4,1,0,0,10,0,?
28,4,9,0,12,2,4,1,0,0,50,0,United-States
39,1,14,4,10,1,4,1,0,0,40,1,Poland
21,4,10,4,8,1,4,1,2907,0,40,0,United-States
73,6,10,6,5,1,4,0,0,0,75,0,United-States
39,4,4,2,8,0,4,1,4508,0,40,0,Mexico
25,4,10,4,7,1,4,1,0,0,40,0,United-States
31,4,10,1,12,5,4,0,0,0,20,0,United-States
51,4,10,0,12,1,4,0,0,0,32,0,United-States
39,4,13,2,1,5,4,0,0,0,28,0,United-States
31,4,13,0,6,3,4,1,0,0,40,0,United-States
21,4,10,4,12,3,2,1,0,0,17,0,United-States
46,4,13,0,4,1,4,1,27828,0,50,1,United-States
73,4,9,0,4,1,4,0,0,0,35,0,United-States
41,4,9,0,3,1,4,1,0,0,40,0,United-States
20,4,9,4,14,3,4,1,0,0,40,0,United-States
27,4,12,4,8,1,4,1,0,0,30,0,United-States
24,4,13,4,10,1,4,1,0,0,35,0,United-States
20,4,10,2,3,0,4,1,0,0,40,0,United-States
39,4,11,4,7,3,4,1,0,0,40,0,United-States
27,4,13,4,6,1,4,1,0,0,28,0,United-States
